modelo,encoder,classificador,teste,batch,value
Modelo1,Kyoto,UFPR05,camera1,256,0.20680878141902642
Modelo1,Kyoto,UFPR05,camera1,512,0.2549793191218581
Modelo1,Kyoto,UFPR05,camera1,1024,0.3573019408208718
Modelo1,Kyoto,UFPR05,camera2,64,0.37142857142857144
Modelo1,Kyoto,UFPR05,camera2,128,0.1877899877899878
Modelo1,Kyoto,UFPR05,camera2,256,0.13333333333333333
Modelo1,Kyoto,UFPR05,camera2,512,0.17264957264957265
Modelo1,Kyoto,UFPR05,camera2,1024,0.2424908424908425
Modelo1,Kyoto,UFPR05,camera3,64,0.28054059761376837
Modelo1,Kyoto,UFPR05,camera3,128,0.13757786928518637
Modelo1,Kyoto,UFPR05,camera3,256,0.10305142012459086
Modelo1,Kyoto,UFPR05,camera3,512,0.1482420019005385
Modelo1,Kyoto,UFPR05,camera3,1024,0.2183507549361208
Modelo1,Kyoto,UFPR05,camera4,64,0.28637789575289574
Modelo1,Kyoto,UFPR05,camera4,128,0.14587355212355213
Modelo1,Kyoto,UFPR05,camera4,256,0.1105815637065637
Modelo1,Kyoto,UFPR05,camera4,512,0.14647683397683398
Modelo1,Kyoto,UFPR05,camera4,1024,0.2155526061776062
Modelo1,Kyoto,UFPR05,camera5,64,0.33342931183414914
Modelo1,Kyoto,UFPR05,camera5,128,0.1984355504367022
Modelo1,Kyoto,UFPR05,camera5,256,0.150734235531241
Modelo1,Kyoto,UFPR05,camera5,512,0.2103368845378635
Modelo1,Kyoto,UFPR05,camera5,1024,0.26614838276226127
Modelo1,Kyoto,UFPR05,camera6,64,0.26044360453550824
Modelo1,Kyoto,UFPR05,camera6,128,0.1339267953053511
Modelo1,Kyoto,UFPR05,camera6,256,0.10518201710761886
Modelo1,Kyoto,UFPR05,camera6,512,0.14601153769643924
Modelo1,Kyoto,UFPR05,camera6,1024,0.18137059876666003
Modelo1,Kyoto,UFPR05,camera7,64,0.3214928483470683
Modelo1,Kyoto,UFPR05,camera7,128,0.23860945344321302
Modelo1,Kyoto,UFPR05,camera7,256,0.19697830823150517
Modelo1,Kyoto,UFPR05,camera7,512,0.25239177796722556
Modelo1,Kyoto,UFPR05,camera7,1024,0.30150610969025293
Modelo1,Kyoto,UFPR05,camera8,64,0.23609035044012622
Modelo1,Kyoto,UFPR05,camera8,128,0.13486131871782095
Modelo1,Kyoto,UFPR05,camera8,256,0.1088689586447434
Modelo1,Kyoto,UFPR05,camera8,512,0.15034877927254608
Modelo1,Kyoto,UFPR05,camera8,1024,0.19166251453246969
Modelo1,Kyoto,UFPR05,camera9,64,0.42486886763344645
Modelo1,Kyoto,UFPR05,camera9,128,0.2978247454489355
Modelo1,Kyoto,UFPR05,camera9,256,0.2165998148719531
Modelo1,Kyoto,UFPR05,camera9,512,0.2915766738660907
Modelo1,Kyoto,UFPR05,camera9,1024,0.36238815180499845
Modelo1,Kyoto,camera1,PUC,64,0.1287412516530221
Modelo1,Kyoto,camera1,PUC,128,0.17734540560035641
Modelo1,Kyoto,camera1,PUC,256,0.12599505448785192
Modelo1,Kyoto,camera1,PUC,512,0.14450890215759166
Modelo1,Kyoto,camera1,PUC,1024,0.1536951084688949
Modelo1,Kyoto,camera1,UFPR04,64,0.1967347864289561
Modelo1,Kyoto,camera1,UFPR04,128,0.26059352059181995
Modelo1,Kyoto,camera1,UFPR04,256,0.19229424713963134
Modelo1,Kyoto,camera1,UFPR04,512,0.22784690532203358
Modelo1,Kyoto,camera1,UFPR04,1024,0.27479379836172446
Modelo1,Kyoto,camera1,UFPR05,64,0.19481859034291402
Modelo1,Kyoto,camera1,UFPR05,128,0.30164369514732936
Modelo1,Kyoto,camera1,UFPR05,256,0.2695720360708146
Modelo1,Kyoto,camera1,UFPR05,512,0.2884639744247067
Modelo1,Kyoto,camera1,UFPR05,1024,0.330289230026842
Modelo1,Kyoto,camera1,camera1,64,0.8838976052848885
Modelo1,Kyoto,camera1,camera1,128,0.869364161849711
Modelo1,Kyoto,camera1,camera1,256,0.9184145334434352
Modelo1,Kyoto,camera1,camera1,512,0.8852188274153592
Modelo1,Kyoto,camera1,camera1,1024,0.9511147811725846
Modelo1,Kyoto,camera1,camera2,64,0.9208791208791208
Modelo1,Kyoto,camera1,camera2,128,0.9072039072039072
Modelo1,Kyoto,camera1,camera2,256,0.9416361416361416
Modelo1,Kyoto,camera1,camera2,512,0.9218559218559218
Modelo1,Kyoto,camera1,camera2,1024,0.9323565323565324
Modelo1,Kyoto,camera1,camera3,64,0.9312638580931264
Modelo1,Kyoto,camera1,camera3,128,0.9347481786506177
Modelo1,Kyoto,camera1,camera3,256,0.9349593495934959
Modelo1,Kyoto,camera1,camera3,512,0.9330588111075916
Modelo1,Kyoto,camera1,camera3,1024,0.9182768451061134
Modelo1,Kyoto,camera1,camera4,64,0.9106539575289575
Modelo1,Kyoto,camera1,camera4,128,0.8979850386100386
Modelo1,Kyoto,camera1,camera4,256,0.9338199806949807
Modelo1,Kyoto,camera1,camera4,512,0.9156008687258688
Modelo1,Kyoto,camera1,camera4,1024,0.9432915057915058
Modelo1,Kyoto,camera1,camera5,64,0.8800748632306363
Modelo1,Kyoto,camera1,camera5,128,0.8733083789231212
Modelo1,Kyoto,camera1,camera5,256,0.9136673385161723
Modelo1,Kyoto,camera1,camera5,512,0.8900566273154813
Modelo1,Kyoto,camera1,camera5,1024,0.9301756406564929
Modelo1,Kyoto,camera1,camera6,64,0.9146608315098468
Modelo1,Kyoto,camera1,camera6,128,0.9042669584245077
Modelo1,Kyoto,camera1,camera6,256,0.9299781181619255
Modelo1,Kyoto,camera1,camera6,512,0.9109807041973343
Modelo1,Kyoto,camera1,camera6,1024,0.9335587825740999
Modelo1,Kyoto,camera1,camera7,64,0.8093208297811878
Modelo1,Kyoto,camera1,camera7,128,0.8293549303779483
Modelo1,Kyoto,camera1,camera7,256,0.8554039973477313
Modelo1,Kyoto,camera1,camera7,512,0.8401060907454769
Modelo1,Kyoto,camera1,camera7,1024,0.8919200530453727
Modelo1,Kyoto,camera1,camera8,64,0.915504069091513
Modelo1,Kyoto,camera1,camera8,128,0.9075319714333168
Modelo1,Kyoto,camera1,camera8,256,0.9334412888224547
Modelo1,Kyoto,camera1,camera8,512,0.920445108785916
Modelo1,Kyoto,camera1,camera8,1024,0.9284172064441123
Modelo1,Kyoto,camera1,camera9,64,0.8506633755013885
Modelo1,Kyoto,camera1,camera9,128,0.8631595186670781
Modelo1,Kyoto,camera1,camera9,256,0.8756556618327677
Modelo1,Kyoto,camera1,camera9,512,0.8559858068497377
Modelo1,Kyoto,camera1,camera9,1024,0.9036562789262573
Modelo1,Kyoto,camera2,PUC,64,0.15295021722065988
Modelo1,Kyoto,camera2,PUC,128,0.12644293213710714
Modelo1,Kyoto,camera2,PUC,256,0.1595764491788517
Modelo1,Kyoto,camera2,PUC,512,0.11001996591415364
Modelo1,Kyoto,camera2,PUC,1024,0.06835084377791868
Modelo1,Kyoto,camera2,UFPR04,64,0.3017015768638455
Modelo1,Kyoto,camera2,UFPR04,128,0.24673336923556588
Modelo1,Kyoto,camera2,UFPR04,256,0.24001587256597035
Modelo1,Kyoto,camera2,UFPR04,512,0.1673705393838043
Modelo1,Kyoto,camera2,UFPR04,1024,0.1648006953695568
Modelo1,Kyoto,camera2,UFPR05,64,0.41295654009711374
Modelo1,Kyoto,camera2,UFPR05,128,0.29102753566366074
Modelo1,Kyoto,camera2,UFPR05,256,0.25536689085261033
Modelo1,Kyoto,camera2,UFPR05,512,0.22518925113852278
Modelo1,Kyoto,camera2,UFPR05,1024,0.18826190547998914
Modelo1,Kyoto,camera2,camera1,64,0.7730830416799236
Modelo1,Kyoto,camera2,camera1,128,0.8181991727648743
Modelo1,Kyoto,camera2,camera1,256,0.8234171174037543
Modelo1,Kyoto,camera2,camera1,512,0.836716512885778
Modelo1,Kyoto,camera2,camera1,1024,0.8342348075087496
Modelo1,Kyoto,camera2,camera2,64,0.9591836734693877
Modelo1,Kyoto,camera2,camera2,128,0.9784580498866213
Modelo1,Kyoto,camera2,camera2,256,0.9750566893424036
Modelo1,Kyoto,camera2,camera2,512,0.9761904761904762
Modelo1,Kyoto,camera2,camera2,1024,0.9795918367346939
Modelo1,Kyoto,camera2,camera3,64,0.9123640587055222
Modelo1,Kyoto,camera2,camera3,128,0.9349593495934959
Modelo1,Kyoto,camera2,camera3,256,0.9327420546932742
Modelo1,Kyoto,camera2,camera3,512,0.9345370077077394
Modelo1,Kyoto,camera2,camera3,1024,0.9323197128075177
Modelo1,Kyoto,camera2,camera4,64,0.869449806949807
Modelo1,Kyoto,camera2,camera4,128,0.908844111969112
Modelo1,Kyoto,camera2,camera4,256,0.8982263513513513
Modelo1,Kyoto,camera2,camera4,512,0.9045004826254827
Modelo1,Kyoto,camera2,camera4,1024,0.9184966216216216
Modelo1,Kyoto,camera2,camera5,64,0.8374124196180056
Modelo1,Kyoto,camera2,camera5,128,0.8798829062290047
Modelo1,Kyoto,camera2,camera5,256,0.8660620021115271
Modelo1,Kyoto,camera2,camera5,512,0.877627411459833
Modelo1,Kyoto,camera2,camera5,1024,0.8890968423073231
Modelo1,Kyoto,camera2,camera6,64,0.8570718122140442
Modelo1,Kyoto,camera2,camera6,128,0.9026258205689278
Modelo1,Kyoto,camera2,camera6,256,0.8986970360055699
Modelo1,Kyoto,camera2,camera6,512,0.9020290431668987
Modelo1,Kyoto,camera2,camera6,1024,0.9124229162522379
Modelo1,Kyoto,camera2,camera7,64,0.7823245240125035
Modelo1,Kyoto,camera2,camera7,128,0.8186984938903098
Modelo1,Kyoto,camera2,camera7,256,0.8274130908402008
Modelo1,Kyoto,camera2,camera7,512,0.8352751728710808
Modelo1,Kyoto,camera2,camera7,1024,0.8376432698683338
Modelo1,Kyoto,camera2,camera8,64,0.8780933399767481
Modelo1,Kyoto,camera2,camera8,128,0.9173725294801528
Modelo1,Kyoto,camera2,camera8,256,0.9114349775784754
Modelo1,Kyoto,camera2,camera8,512,0.9211094502574323
Modelo1,Kyoto,camera2,camera8,1024,0.9271715661850191
Modelo1,Kyoto,camera2,camera9,64,0.8115550755939525
Modelo1,Kyoto,camera2,camera9,128,0.8481950015427338
Modelo1,Kyoto,camera2,camera9,256,0.8578370873187288
Modelo1,Kyoto,camera2,camera9,512,0.8508176488738044
Modelo1,Kyoto,camera2,camera9,1024,0.8503548287565567
Modelo1,Kyoto,camera3,PUC,64,0.15329909033692185
Modelo1,Kyoto,camera3,PUC,128,0.08224919440954404
Modelo1,Kyoto,camera3,PUC,256,0.11404143575430846
Modelo1,Kyoto,camera3,PUC,512,0.07869210297414332
Modelo1,Kyoto,camera3,PUC,1024,0.16912567211113022
Modelo1,Kyoto,camera3,UFPR04,64,0.28721786041589903
Modelo1,Kyoto,camera3,UFPR04,128,0.22902789981387528
Modelo1,Kyoto,camera3,UFPR04,256,0.23134264901788498
Modelo1,Kyoto,camera3,UFPR04,512,0.21168145271770453
Modelo1,Kyoto,camera3,UFPR04,1024,0.24737583023912776
Modelo1,Kyoto,camera3,UFPR05,64,0.1281237747685255
Modelo1,Kyoto,camera3,UFPR05,128,0.10928009168501372
Modelo1,Kyoto,camera3,UFPR05,256,0.15717947944627078
Modelo1,Kyoto,camera3,UFPR05,512,0.14135778267032603
Modelo1,Kyoto,camera3,UFPR05,1024,0.18520975962843442
Modelo1,Kyoto,camera3,camera1,64,0.7690104995227489
Modelo1,Kyoto,camera3,camera1,128,0.813935730194082
Modelo1,Kyoto,camera3,camera1,256,0.8111994909322303
Modelo1,Kyoto,camera3,camera1,512,0.85065224307986
Modelo1,Kyoto,camera3,camera1,1024,0.8632516703786192
Modelo1,Kyoto,camera3,camera2,64,0.8495726495726496
Modelo1,Kyoto,camera3,camera2,128,0.8446886446886447
Modelo1,Kyoto,camera3,camera2,256,0.9108669108669109
Modelo1,Kyoto,camera3,camera2,512,0.9511599511599511
Modelo1,Kyoto,camera3,camera2,1024,0.9509157509157509
Modelo1,Kyoto,camera3,camera3,64,0.9505376344086022
Modelo1,Kyoto,camera3,camera3,128,0.9443932411674347
Modelo1,Kyoto,camera3,camera3,256,0.9520737327188941
Modelo1,Kyoto,camera3,camera3,512,0.9668202764976959
Modelo1,Kyoto,camera3,camera3,1024,0.9671274961597542
Modelo1,Kyoto,camera3,camera4,64,0.8752413127413128
Modelo1,Kyoto,camera3,camera4,128,0.8930381274131274
Modelo1,Kyoto,camera3,camera4,256,0.8982866795366795
Modelo1,Kyoto,camera3,camera4,512,0.9363537644787645
Modelo1,Kyoto,camera3,camera4,1024,0.9426882239382239
Modelo1,Kyoto,camera3,camera5,64,0.8536807755062866
Modelo1,Kyoto,camera3,camera5,128,0.8438429791726654
Modelo1,Kyoto,camera3,camera5,256,0.8481140224589692
Modelo1,Kyoto,camera3,camera5,512,0.889144831557731
Modelo1,Kyoto,camera3,camera5,1024,0.9008542086572607
Modelo1,Kyoto,camera3,camera6,64,0.8976526755520191
Modelo1,Kyoto,camera3,camera6,128,0.8942709369405212
Modelo1,Kyoto,camera3,camera6,256,0.8983986473045554
Modelo1,Kyoto,camera3,camera6,512,0.9288840262582057
Modelo1,Kyoto,camera3,camera6,1024,0.9334095882235925
Modelo1,Kyoto,camera3,camera7,64,0.7876764232262954
Modelo1,Kyoto,camera3,camera7,128,0.8018850052098134
Modelo1,Kyoto,camera3,camera7,256,0.8051529790660226
Modelo1,Kyoto,camera3,camera7,512,0.8287392251586625
Modelo1,Kyoto,camera3,camera7,1024,0.8586246092639954
Modelo1,Kyoto,camera3,camera8,64,0.9068676299618004
Modelo1,Kyoto,camera3,camera8,128,0.8993937884072413
Modelo1,Kyoto,camera3,camera8,256,0.9118086696562033
Modelo1,Kyoto,camera3,camera8,512,0.931572828433815
Modelo1,Kyoto,camera3,camera8,1024,0.9341886729779106
Modelo1,Kyoto,camera3,camera9,64,0.839941376118482
Modelo1,Kyoto,camera3,camera9,128,0.8309163838321506
Modelo1,Kyoto,camera3,camera9,256,0.8449552607219993
Modelo1,Kyoto,camera3,camera9,512,0.8755013884603517
Modelo1,Kyoto,camera3,camera9,1024,0.8898488120950324
Modelo1,Kyoto,camera4,PUC,64,0.15223125573106597
Modelo1,Kyoto,camera4,PUC,128,0.1082402415710605
Modelo1,Kyoto,camera4,PUC,256,0.13756679859413562
Modelo1,Kyoto,camera4,PUC,512,0.09906110701211392
Modelo1,Kyoto,camera4,PUC,1024,0.1082708858312727
Modelo1,Kyoto,camera4,UFPR04,64,0.32656859688406414
Modelo1,Kyoto,camera4,UFPR04,128,0.2627665504568087
Modelo1,Kyoto,camera4,UFPR04,256,0.24788601985960337
Modelo1,Kyoto,camera4,UFPR04,512,0.1812023468722542
Modelo1,Kyoto,camera4,UFPR04,1024,0.13919673478642897
Modelo1,Kyoto,camera4,UFPR05,64,0.3181831890701813
Modelo1,Kyoto,camera4,UFPR05,128,0.2507705763488856
Modelo1,Kyoto,camera4,UFPR05,256,0.2577856862804234
Modelo1,Kyoto,camera4,UFPR05,512,0.21841541755888652
Modelo1,Kyoto,camera4,UFPR05,1024,0.1924963054558615
Modelo1,Kyoto,camera4,camera1,64,0.7780464524339803
Modelo1,Kyoto,camera4,camera1,128,0.8383073496659242
Modelo1,Kyoto,camera4,camera1,256,0.8141902640789055
Modelo1,Kyoto,camera4,camera1,512,0.8566337893732103
Modelo1,Kyoto,camera4,camera1,1024,0.8393891186764239
Modelo1,Kyoto,camera4,camera2,64,0.8757020757020757
