tipo_encoder,dataset_encoder,dataset_test,batch,tecnica_fusao,precision,precision_std,accuracy,accuracy_std
Encoder,camera1,camera5,128,max,0.867945,0.0,0.846069,0.0
Encoder,camera1,camera5,128,mult,0.871752,0.0,0.849253,0.0
Encoder,camera1,camera5,128,vote,0.875961,0.0,0.857049,0.0
Encoder,camera1,camera6,128,mean_individual_models,0.878518,0.017289,0.864109,0.024441
Encoder,camera1,camera6,128,sum,0.90481,0.0,0.89144,0.0
Encoder,camera1,camera6,128,mean_probs,0.90481,0.0,0.89144,0.0
Encoder,camera1,camera6,128,max,0.900209,0.0,0.88844,0.0
Encoder,camera1,camera6,128,mult,0.902432,0.0,0.886825,0.0
Encoder,camera1,camera6,128,vote,0.904037,0.0,0.890863,0.0
Encoder,camera1,camera7,128,mean_individual_models,0.839849,0.025434,0.788886,0.044373
Encoder,camera1,camera7,128,sum,0.850871,0.0,0.794255,0.0
Encoder,camera1,camera7,128,mean_probs,0.850871,0.0,0.794255,0.0
Encoder,camera1,camera7,128,max,0.844754,0.0,0.790151,0.0
Encoder,camera1,camera7,128,mult,0.846339,0.0,0.783718,0.0
Encoder,camera1,camera7,128,vote,0.850816,0.0,0.795031,0.0
Encoder,camera1,camera8,128,mean_individual_models,0.867227,0.027533,0.849142,0.039043
Encoder,camera1,camera8,128,sum,0.894888,0.0,0.880112,0.0
Encoder,camera1,camera8,128,mean_probs,0.894888,0.0,0.880112,0.0
Encoder,camera1,camera8,128,max,0.888301,0.0,0.87635,0.0
Encoder,camera1,camera8,128,mult,0.885186,0.0,0.867188,0.0
Encoder,camera1,camera8,128,vote,0.894922,0.0,0.880498,0.0
Encoder,camera1,camera9,128,mean_individual_models,0.848526,0.025203,0.828591,0.041257
Encoder,camera1,camera9,128,sum,0.884587,0.0,0.869583,0.0
Encoder,camera1,camera9,128,mean_probs,0.884587,0.0,0.869583,0.0
Encoder,camera1,camera9,128,max,0.873868,0.0,0.865369,0.0
Encoder,camera1,camera9,128,mult,0.879572,0.0,0.864366,0.0
Encoder,camera1,camera9,128,vote,0.884605,0.0,0.869783,0.0
Encoder,camera1,PUC,128,mean_individual_models,0.777094,0.045767,0.751598,0.045244
Encoder,camera1,PUC,128,sum,0.814807,0.0,0.801114,0.0
Encoder,camera1,PUC,128,mean_probs,0.814807,0.0,0.801114,0.0
