encoder,classificador,teste,batch,n_models,combination,fusion_method,value
PKLot,camera1,camera1,64,2,"(3, 6)",mean_probs,0.8994219653179191
PKLot,camera1,camera1,64,2,"(3, 6)",max,0.8994219653179191
PKLot,camera1,camera1,64,2,"(3, 6)",mult,0.8994219653179191
PKLot,camera1,camera1,64,2,"(3, 6)",vote,0.8994219653179191
PKLot,camera1,camera1,64,2,"(3, 7)",sum,0.9332782824112303
PKLot,camera1,camera1,64,2,"(3, 7)",mean_probs,0.9332782824112303
PKLot,camera1,camera1,64,2,"(3, 7)",max,0.9332782824112303
PKLot,camera1,camera1,64,2,"(3, 7)",mult,0.9332782824112303
PKLot,camera1,camera1,64,2,"(3, 7)",vote,0.9332782824112303
PKLot,camera1,camera1,64,2,"(3, 8)",sum,0.921552436003303
PKLot,camera1,camera1,64,2,"(3, 8)",mean_probs,0.921552436003303
PKLot,camera1,camera1,64,2,"(3, 8)",max,0.921552436003303
PKLot,camera1,camera1,64,2,"(3, 8)",mult,0.921552436003303
PKLot,camera1,camera1,64,2,"(3, 8)",vote,0.921552436003303
PKLot,camera1,camera1,64,2,"(3, 9)",sum,0.892485549132948
PKLot,camera1,camera1,64,2,"(3, 9)",mean_probs,0.892485549132948
PKLot,camera1,camera1,64,2,"(3, 9)",max,0.892485549132948
PKLot,camera1,camera1,64,2,"(3, 9)",mult,0.892485549132948
PKLot,camera1,camera1,64,2,"(3, 9)",vote,0.892485549132948
PKLot,camera1,camera1,64,2,"(4, 5)",sum,0.9037159372419488
PKLot,camera1,camera1,64,2,"(4, 5)",mean_probs,0.9037159372419488
PKLot,camera1,camera1,64,2,"(4, 5)",max,0.9037159372419488
PKLot,camera1,camera1,64,2,"(4, 5)",mult,0.9037159372419488
PKLot,camera1,camera1,64,2,"(4, 5)",vote,0.9037159372419488
PKLot,camera1,camera1,64,2,"(4, 6)",sum,0.8981007431874484
PKLot,camera1,camera1,64,2,"(4, 6)",mean_probs,0.8981007431874484
PKLot,camera1,camera1,64,2,"(4, 6)",max,0.8981007431874484
PKLot,camera1,camera1,64,2,"(4, 6)",mult,0.8981007431874484
PKLot,camera1,camera1,64,2,"(4, 6)",vote,0.8981007431874484
PKLot,camera1,camera1,64,2,"(4, 7)",sum,0.9311312964492156
PKLot,camera1,camera1,64,2,"(4, 7)",mean_probs,0.9311312964492156
PKLot,camera1,camera1,64,2,"(4, 7)",max,0.9311312964492156
PKLot,camera1,camera1,64,2,"(4, 7)",mult,0.9311312964492156
PKLot,camera1,camera1,64,2,"(4, 7)",vote,0.9311312964492156
PKLot,camera1,camera1,64,2,"(4, 8)",sum,0.9162675474814204
