MSE_Weight,SSIM_Weight,rec_weights,Val_Loss,mean_distance
0.7,0.2,0.7,0.3475482314825058,172.51547
0.7,0.2,1.0,0.3033529818058014,128.24489
0.7,0.3,0.3,0.35108889639377594,110.00075
0.7,0.3,0.5,0.43742330372333527,172.25003
0.7,0.3,0.7,0.413069024682045,165.16864
0.7,0.3,1.0,0.4095589965581894,241.16205
0.7,0.4,0.3,0.4385892450809479,150.4307
0.7,0.4,0.5,0.5005567222833633,133.88148
0.7,0.4,0.7,0.4802776873111725,166.32875
0.7,0.4,1.0,0.4991483986377716,127.51335
0.7,0.5,0.3,0.5277270972728729,133.87047
0.7,0.5,0.5,0.5388515293598175,280.632
0.7,0.5,0.7,0.5484705567359924,134.04721
0.7,0.5,1.0,0.5845762491226196,189.79143
0.7,0.6,0.3,0.5857137739658356,127.54143
0.7,0.6,0.5,0.6364713609218597,115.75511
0.7,0.6,0.7,0.6408176124095917,158.93166
0.7,0.6,1.0,0.6587364673614502,180.21608
0.8,0.0,0.3,0.14795631915330887,126.51611
0.8,0.0,0.5,0.16125138849020004,150.62033
0.8,0.0,0.7,0.18035569041967392,107.87948
0.8,0.0,1.0,0.21238884329795837,172.52394
0.8,0.2,0.3,0.31377220153808594,133.27885
0.8,0.2,0.5,0.3047787994146347,132.96878
0.8,0.2,0.7,0.3586251586675644,179.20139
0.8,0.2,1.0,0.3179764598608017,148.32724
0.8,0.3,0.3,0.4368966817855835,122.323814
0.8,0.3,0.5,0.43741104006767273,141.63872
0.8,0.3,0.7,0.40223826467990875,123.60855
0.8,0.3,1.0,0.4625002443790436,108.020836
0.8,0.4,0.3,0.5029917657375336,101.29604
0.8,0.4,0.5,0.5175025165081024,152.6754
0.8,0.4,0.7,0.4722178727388382,151.80344
0.8,0.4,1.0,0.5767605602741241,162.95897
0.8,0.5,0.3,0.58184614777565,176.56746
0.8,0.5,0.5,0.582225114107132,129.09375
0.8,0.5,0.7,0.6027027666568756,145.72736
0.8,0.5,1.0,0.5663504898548126,134.03694
0.8,0.6,0.3,0.6723670363426208,110.47177
0.8,0.6,0.5,0.5928163528442383,130.46927
0.8,0.6,0.7,0.6165332794189453,105.88508
0.8,0.6,1.0,0.7042718827724457,164.5732
