Fusao,Base do Autoencoder,Base de Treino,Base de Teste,Acuracia,Batch
SumFusion,PKLot,camera1,camera3,0.501,512
SumFusion,PKLot,camera1,camera3,0.502,1024
SumFusion,PKLot,camera1,camera4,0.501,64
SumFusion,PKLot,camera1,camera4,0.501,128
SumFusion,PKLot,camera1,camera4,0.499,256
SumFusion,PKLot,camera1,camera4,0.5,512
SumFusion,PKLot,camera1,camera4,0.5,1024
SumFusion,PKLot,camera1,camera5,0.501,64
SumFusion,PKLot,camera1,camera5,0.5,128
SumFusion,PKLot,camera1,camera5,0.501,256
SumFusion,PKLot,camera1,camera5,0.501,512
SumFusion,PKLot,camera1,camera5,0.5,1024
SumFusion,PKLot,camera1,camera6,0.504,64
SumFusion,PKLot,camera1,camera6,0.506,128
SumFusion,PKLot,camera1,camera6,0.505,256
SumFusion,PKLot,camera1,camera6,0.508,512
SumFusion,PKLot,camera1,camera6,0.507,1024
SumFusion,PKLot,camera1,camera7,0.493,64
SumFusion,PKLot,camera1,camera7,0.497,128
SumFusion,PKLot,camera1,camera7,0.499,256
SumFusion,PKLot,camera1,camera7,0.499,512
SumFusion,PKLot,camera1,camera7,0.496,1024
SumFusion,PKLot,camera1,camera8,0.497,64
SumFusion,PKLot,camera1,camera8,0.499,128
SumFusion,PKLot,camera1,camera8,0.5,256
SumFusion,PKLot,camera1,camera8,0.497,512
SumFusion,PKLot,camera1,camera8,0.498,1024
SumFusion,PKLot,camera1,camera9,0.494,64
SumFusion,PKLot,camera1,camera9,0.488,128
SumFusion,PKLot,camera1,camera9,0.49,256
SumFusion,PKLot,camera1,camera9,0.492,512
SumFusion,PKLot,camera1,camera9,0.495,1024
SumFusion,PKLot,camera2,camera1,0.509,64
SumFusion,PKLot,camera2,camera1,0.509,128
SumFusion,PKLot,camera2,camera1,0.503,256
SumFusion,PKLot,camera2,camera1,0.501,512
SumFusion,PKLot,camera2,camera1,0.504,1024
SumFusion,PKLot,camera2,camera2,0.96,64
SumFusion,PKLot,camera2,camera2,0.972,128
SumFusion,PKLot,camera2,camera2,0.974,256
SumFusion,PKLot,camera2,camera2,0.98,512
SumFusion,PKLot,camera2,camera2,0.984,1024
SumFusion,PKLot,camera2,camera3,0.498,64
SumFusion,PKLot,camera2,camera3,0.5,128
SumFusion,PKLot,camera2,camera3,0.497,256
SumFusion,PKLot,camera2,camera3,0.5,512
SumFusion,PKLot,camera2,camera3,0.502,1024
SumFusion,PKLot,camera2,camera4,0.504,64
SumFusion,PKLot,camera2,camera4,0.503,128
SumFusion,PKLot,camera2,camera4,0.503,256
SumFusion,PKLot,camera2,camera4,0.502,512
SumFusion,PKLot,camera2,camera4,0.502,1024
SumFusion,PKLot,camera2,camera5,0.502,64
SumFusion,PKLot,camera2,camera5,0.505,128
SumFusion,PKLot,camera2,camera5,0.503,256
SumFusion,PKLot,camera2,camera5,0.502,512
SumFusion,PKLot,camera2,camera5,0.499,1024
SumFusion,PKLot,camera2,camera6,0.503,64
SumFusion,PKLot,camera2,camera6,0.505,128
SumFusion,PKLot,camera2,camera6,0.506,256
SumFusion,PKLot,camera2,camera6,0.506,512
SumFusion,PKLot,camera2,camera6,0.505,1024
SumFusion,PKLot,camera2,camera7,0.486,64
SumFusion,PKLot,camera2,camera7,0.491,128
SumFusion,PKLot,camera2,camera7,0.495,256
SumFusion,PKLot,camera2,camera7,0.494,512
SumFusion,PKLot,camera2,camera7,0.494,1024
SumFusion,PKLot,camera2,camera8,0.496,64
SumFusion,PKLot,camera2,camera8,0.496,128
SumFusion,PKLot,camera2,camera8,0.496,256
SumFusion,PKLot,camera2,camera8,0.496,512
SumFusion,PKLot,camera2,camera8,0.498,1024
SumFusion,PKLot,camera2,camera9,0.492,64
SumFusion,PKLot,camera2,camera9,0.49,128
SumFusion,PKLot,camera2,camera9,0.492,256
SumFusion,PKLot,camera2,camera9,0.492,512
SumFusion,PKLot,camera2,camera9,0.492,1024
SumFusion,PKLot,camera3,camera1,0.506,64
SumFusion,PKLot,camera3,camera1,0.503,128
SumFusion,PKLot,camera3,camera1,0.497,256
SumFusion,PKLot,camera3,camera1,0.499,512
SumFusion,PKLot,camera3,camera1,0.503,1024
SumFusion,PKLot,camera3,camera2,0.524,64
SumFusion,PKLot,camera3,camera2,0.508,128
SumFusion,PKLot,camera3,camera2,0.51,256
SumFusion,PKLot,camera3,camera2,0.51,512
SumFusion,PKLot,camera3,camera2,0.508,1024
SumFusion,PKLot,camera3,camera3,0.967,64
SumFusion,PKLot,camera3,camera3,0.965,128
SumFusion,PKLot,camera3,camera3,0.966,256
SumFusion,PKLot,camera3,camera3,0.975,512
SumFusion,PKLot,camera3,camera3,0.978,1024
SumFusion,PKLot,camera3,camera4,0.504,64
SumFusion,PKLot,camera3,camera4,0.503,128
SumFusion,PKLot,camera3,camera4,0.502,256
SumFusion,PKLot,camera3,camera4,0.503,512
SumFusion,PKLot,camera3,camera4,0.502,1024
SumFusion,PKLot,camera3,camera5,0.497,64
SumFusion,PKLot,camera3,camera5,0.497,128
SumFusion,PKLot,camera3,camera5,0.5,256
SumFusion,PKLot,camera3,camera5,0.502,512
SumFusion,PKLot,camera3,camera5,0.503,1024
SumFusion,PKLot,camera3,camera6,0.505,64
SumFusion,PKLot,camera3,camera6,0.505,128
SumFusion,PKLot,camera3,camera6,0.504,256
SumFusion,PKLot,camera3,camera6,0.505,512
SumFusion,PKLot,camera3,camera6,0.504,1024
SumFusion,PKLot,camera3,camera7,0.49,64
SumFusion,PKLot,camera3,camera7,0.49,128
SumFusion,PKLot,camera3,camera7,0.49,256
SumFusion,PKLot,camera3,camera7,0.493,512
SumFusion,PKLot,camera3,camera7,0.493,1024
SumFusion,PKLot,camera3,camera8,0.497,64
SumFusion,PKLot,camera3,camera8,0.495,128
SumFusion,PKLot,camera3,camera8,0.496,256
SumFusion,PKLot,camera3,camera8,0.495,512
SumFusion,PKLot,camera3,camera8,0.496,1024
SumFusion,PKLot,camera3,camera9,0.486,64
SumFusion,PKLot,camera3,camera9,0.49,128
SumFusion,PKLot,camera3,camera9,0.49,256
SumFusion,PKLot,camera3,camera9,0.491,512
SumFusion,PKLot,camera3,camera9,0.492,1024
SumFusion,PKLot,camera4,camera1,0.514,64
SumFusion,PKLot,camera4,camera1,0.508,128
SumFusion,PKLot,camera4,camera1,0.507,256
SumFusion,PKLot,camera4,camera1,0.506,512
SumFusion,PKLot,camera4,camera1,0.506,1024
SumFusion,PKLot,camera4,camera2,0.525,64
SumFusion,PKLot,camera4,camera2,0.516,128
SumFusion,PKLot,camera4,camera2,0.518,256
SumFusion,PKLot,camera4,camera2,0.518,512
SumFusion,PKLot,camera4,camera2,0.515,1024
SumFusion,PKLot,camera4,camera3,0.5,64
SumFusion,PKLot,camera4,camera3,0.498,128
SumFusion,PKLot,camera4,camera3,0.497,256
SumFusion,PKLot,camera4,camera3,0.498,512
SumFusion,PKLot,camera4,camera3,0.496,1024
SumFusion,PKLot,camera4,camera4,0.954,64
SumFusion,PKLot,camera4,camera4,0.942,128
SumFusion,PKLot,camera4,camera4,0.957,256
SumFusion,PKLot,camera4,camera4,0.957,512
SumFusion,PKLot,camera4,camera4,0.957,1024
SumFusion,PKLot,camera4,camera5,0.502,64
SumFusion,PKLot,camera4,camera5,0.502,128
SumFusion,PKLot,camera4,camera5,0.502,256
SumFusion,PKLot,camera4,camera5,0.503,512
SumFusion,PKLot,camera4,camera5,0.502,1024
SumFusion,PKLot,camera4,camera6,0.501,64
SumFusion,PKLot,camera4,camera6,0.506,128
SumFusion,PKLot,camera4,camera6,0.503,256
SumFusion,PKLot,camera4,camera6,0.503,512
SumFusion,PKLot,camera4,camera6,0.505,1024
SumFusion,PKLot,camera4,camera7,0.483,64
SumFusion,PKLot,camera4,camera7,0.486,128
SumFusion,PKLot,camera4,camera7,0.489,256
SumFusion,PKLot,camera4,camera7,0.488,512
SumFusion,PKLot,camera4,camera7,0.492,1024
SumFusion,PKLot,camera4,camera8,0.495,64
SumFusion,PKLot,camera4,camera8,0.494,128
SumFusion,PKLot,camera4,camera8,0.494,256
SumFusion,PKLot,camera4,camera8,0.494,512
SumFusion,PKLot,camera4,camera8,0.495,1024
SumFusion,PKLot,camera4,camera9,0.493,64
SumFusion,PKLot,camera4,camera9,0.491,128
SumFusion,PKLot,camera4,camera9,0.489,256
SumFusion,PKLot,camera4,camera9,0.491,512
SumFusion,PKLot,camera4,camera9,0.491,1024
SumFusion,PKLot,camera5,camera1,0.511,64
SumFusion,PKLot,camera5,camera1,0.504,128
SumFusion,PKLot,camera5,camera1,0.502,256
SumFusion,PKLot,camera5,camera1,0.501,512
SumFusion,PKLot,camera5,camera1,0.499,1024
SumFusion,PKLot,camera5,camera2,0.514,64
SumFusion,PKLot,camera5,camera2,0.51,128
SumFusion,PKLot,camera5,camera2,0.52,256
SumFusion,PKLot,camera5,camera2,0.517,512
SumFusion,PKLot,camera5,camera2,0.51,1024
SumFusion,PKLot,camera5,camera3,0.497,64
SumFusion,PKLot,camera5,camera3,0.5,128
SumFusion,PKLot,camera5,camera3,0.5,256
SumFusion,PKLot,camera5,camera3,0.498,512
SumFusion,PKLot,camera5,camera3,0.499,1024
SumFusion,PKLot,camera5,camera4,0.501,64
SumFusion,PKLot,camera5,camera4,0.502,128
SumFusion,PKLot,camera5,camera4,0.503,256
SumFusion,PKLot,camera5,camera4,0.502,512
SumFusion,PKLot,camera5,camera4,0.502,1024
SumFusion,PKLot,camera5,camera5,0.888,64
SumFusion,PKLot,camera5,camera5,0.905,128
SumFusion,PKLot,camera5,camera5,0.937,256
SumFusion,PKLot,camera5,camera5,0.947,512
SumFusion,PKLot,camera5,camera5,0.953,1024
SumFusion,PKLot,camera5,camera6,0.507,64
SumFusion,PKLot,camera5,camera6,0.507,128
SumFusion,PKLot,camera5,camera6,0.507,256
SumFusion,PKLot,camera5,camera6,0.506,512
SumFusion,PKLot,camera5,camera6,0.506,1024
SumFusion,PKLot,camera5,camera7,0.487,64
SumFusion,PKLot,camera5,camera7,0.494,128
SumFusion,PKLot,camera5,camera7,0.494,256
SumFusion,PKLot,camera5,camera7,0.495,512
SumFusion,PKLot,camera5,camera7,0.494,1024
SumFusion,PKLot,camera5,camera8,0.497,64
SumFusion,PKLot,camera5,camera8,0.495,128
SumFusion,PKLot,camera5,camera8,0.496,256
SumFusion,PKLot,camera5,camera8,0.497,512
SumFusion,PKLot,camera5,camera8,0.497,1024
SumFusion,PKLot,camera5,camera9,0.495,64
SumFusion,PKLot,camera5,camera9,0.489,128
SumFusion,PKLot,camera5,camera9,0.49,256
SumFusion,PKLot,camera5,camera9,0.491,512
SumFusion,PKLot,camera5,camera9,0.489,1024
SumFusion,PKLot,camera6,camera1,0.509,64
SumFusion,PKLot,camera6,camera1,0.508,128
SumFusion,PKLot,camera6,camera1,0.508,256
SumFusion,PKLot,camera6,camera1,0.506,512
SumFusion,PKLot,camera6,camera1,0.509,1024
SumFusion,PKLot,camera6,camera2,0.511,64
SumFusion,PKLot,camera6,camera2,0.503,128
SumFusion,PKLot,camera6,camera2,0.528,256
SumFusion,PKLot,camera6,camera2,0.523,512
SumFusion,PKLot,camera6,camera2,0.516,1024
SumFusion,PKLot,camera6,camera3,0.5,64
SumFusion,PKLot,camera6,camera3,0.5,128
SumFusion,PKLot,camera6,camera3,0.501,256
SumFusion,PKLot,camera6,camera3,0.498,512
SumFusion,PKLot,camera6,camera3,0.5,1024
SumFusion,PKLot,camera6,camera4,0.501,64
SumFusion,PKLot,camera6,camera4,0.504,128
SumFusion,PKLot,camera6,camera4,0.502,256
SumFusion,PKLot,camera6,camera4,0.505,512
SumFusion,PKLot,camera6,camera4,0.504,1024
SumFusion,PKLot,camera6,camera5,0.499,64
SumFusion,PKLot,camera6,camera5,0.5,128
SumFusion,PKLot,camera6,camera5,0.498,256
SumFusion,PKLot,camera6,camera5,0.499,512
SumFusion,PKLot,camera6,camera5,0.5,1024
SumFusion,PKLot,camera6,camera6,0.941,64
SumFusion,PKLot,camera6,camera6,0.942,128
SumFusion,PKLot,camera6,camera6,0.956,256
SumFusion,PKLot,camera6,camera6,0.951,512
SumFusion,PKLot,camera6,camera6,0.968,1024
SumFusion,PKLot,camera6,camera7,0.492,64
SumFusion,PKLot,camera6,camera7,0.491,128
SumFusion,PKLot,camera6,camera7,0.487,256
SumFusion,PKLot,camera6,camera7,0.489,512
SumFusion,PKLot,camera6,camera7,0.491,1024
SumFusion,PKLot,camera6,camera8,0.498,64
SumFusion,PKLot,camera6,camera8,0.496,128
SumFusion,PKLot,camera6,camera8,0.495,256
SumFusion,PKLot,camera6,camera8,0.495,512
SumFusion,PKLot,camera6,camera8,0.496,1024
SumFusion,PKLot,camera6,camera9,0.49,64
SumFusion,PKLot,camera6,camera9,0.49,128
SumFusion,PKLot,camera6,camera9,0.493,256
SumFusion,PKLot,camera6,camera9,0.49,512
SumFusion,PKLot,camera6,camera9,0.495,1024
SumFusion,PKLot,camera7,camera1,0.492,64
SumFusion,PKLot,camera7,camera1,0.496,128
SumFusion,PKLot,camera7,camera1,0.496,256
SumFusion,PKLot,camera7,camera1,0.499,512
SumFusion,PKLot,camera7,camera1,0.5,1024
SumFusion,PKLot,camera7,camera2,0.503,64
SumFusion,PKLot,camera7,camera2,0.508,128
SumFusion,PKLot,camera7,camera2,0.512,256
SumFusion,PKLot,camera7,camera2,0.514,512
SumFusion,PKLot,camera7,camera2,0.517,1024
SumFusion,PKLot,camera7,camera3,0.5,64
SumFusion,PKLot,camera7,camera3,0.501,128
SumFusion,PKLot,camera7,camera3,0.5,256
SumFusion,PKLot,camera7,camera3,0.503,512
SumFusion,PKLot,camera7,camera3,0.503,1024
SumFusion,PKLot,camera7,camera4,0.503,64
SumFusion,PKLot,camera7,camera4,0.501,128
SumFusion,PKLot,camera7,camera4,0.499,256
SumFusion,PKLot,camera7,camera4,0.5,512
SumFusion,PKLot,camera7,camera4,0.502,1024
SumFusion,PKLot,camera7,camera5,0.499,64
SumFusion,PKLot,camera7,camera5,0.498,128
SumFusion,PKLot,camera7,camera5,0.501,256
SumFusion,PKLot,camera7,camera5,0.499,512
SumFusion,PKLot,camera7,camera5,0.498,1024
SumFusion,PKLot,camera7,camera6,0.507,64
SumFusion,PKLot,camera7,camera6,0.505,128
SumFusion,PKLot,camera7,camera6,0.504,256
